source,target,group
Military Forces of Madagascar (2002-2009),Mutiny of Military Forces of Madagascar (2002-2009) (General Andrianafidisoa Faction),3
Rioters (Madagascar),Military Forces of Madagascar (2009-2014),1
Military Forces of Madagascar (2009-2014),Military Forces of Madagascar (2009-2014) Gendarmerie,11
Military Forces of Madagascar (2009-2014),Mutiny of Military Forces of Madagascar (2009-2014),1
Unidentified Armed Group (Madagascar),Military Forces of Madagascar (2009-2014),5
Betanatanana Communal Militia (Madagascar),Civilians (Madagascar),10
Beharona Communal Militia (Madagascar),Dahalo Militia,57
Protesters (Madagascar),Military Forces of Madagascar (2002-2009),25
Antandroy Ethnic Militia (Madagasacar),Civilians (Madagascar),2
Military Forces of Madagascar (2014-) Gendarmerie,Civilians (Madagascar),31
Dahalo Militia,Banonoky Mahazoarivo Communal Militia (Madagascar),5
Unidentified Armed Group (Madagascar),Esira Communal Militia (Madagascar),36
Unidentified Armed Group (Madagascar),Ranomafana Communal Militia (Madagascar),1
Police Forces of Malawi (1994-2004),Protesters (Malawi),8
Rioters (Malawi),Police Forces of Malawi (1994-2004),1
AFORD: AD: Alliance for Democracy Militia,Civilians (Malawi),1
UDF: United Democratic Front,Civilians (Malawi),1
Protesters (Malawi),Police Forces of Malawi (1994-2004),2
Police Forces of Malawi (1994-2004),Civilians (Malawi),2
Young Democrats,Civilians (Malawi),2
Rioters (Malawi),NDA: National Democratic Alliance,4
NDA: National Democratic Alliance,UDF: United Democratic Front,4
MYP: Malawi Young Pioneers,Civilians (Malawi),4
Rioters (Malawi),Police Forces of Malawi (2004-2012),6
Unidentified Armed Group (Malawi),Civilians (Rwanda),1
Police Forces of Malawi (2004-2012),Civilians (International),1
Protesters (Malawi),Police Forces of Malawi (2012-2014),1
Police Forces of Malawi (2004-2012),Civilians (Malawi),1
Police Forces of Malawi (2012-2014),Civilians (Malawi),3
Alimitambo Communal Militia (Malawi),Civilians (Malawi),4
Rioters (Malawi),Police Forces of Malawi (2012-2014),3
DPP: Democratic Progressive Party,Civilians (Malawi),4
Police Forces of Malawi (2014-),Civilians (Malawi),6
Vigilante Militia (Malawi),Unidentified Armed Group (Malawi),3
Unidentified Armed Group (Malawi),Police Forces of Malawi (2014-),6
Protesters (Malawi),Police Forces of Malawi (2004-2012),18
Police Forces of Malawi (2004-2012),Anti-Mutharika Party,2
Muslim Militia (Malawi),Civilians (Malawi),1
Military Forces of Malawi (1994-2004),Civilians (Malawi),3
Vigilante Militia (Malawi),Police Forces of Malawi (2014-),6
PP: Peoples Party,Civilians (Malawi),1
Police Forces of Malawi (2004-2012),Protesters (Malawi),5
Unidentified Armed Group (Malawi),DPP: Democratic Progressive Party,6
UDF: United Democratic Front,Police Forces of Malawi (2004-2012),4
Police Forces of Malawi (2004-2012),UDF: United Democratic Front,17
Police Forces of Malawi (2004-2012),Rioters (Malawi),11
Police Forces of Malawi (2012-2014),Rioters (Malawi),9
NDA: National Democratic Alliance,Young Democrats,22
Protesters (Malawi),Protesters (Malawi),3
Protesters (Malawi),DPP: Democratic Progressive Party,2
Military Forces of Malawi (2014-),Civilians (Malawi),22
Vigilante Militia (Malawi),Military Forces of Malawi (2014-),1
Rioters (Malawi),Private Security Forces (Malawi),2
Police Forces of Malawi (1994-2004),Rioters (Malawi),5
NDA: National Democratic Alliance,Civilians (Malawi),14
Protesters (Mali),Police Forces of Mali (1992-2002),2
Rioters (Mali),Police Forces of Mali (1992-2002),1
Kayobogo Ethnic Militia (Mali),Sirranikoro Ethnic Militia (Mali),2
Adema Liberation Army,Civilians (Mali),1
Police Forces of Mali (1992-2002),Civilians (Mali),1
Sero Diamanou Ethnic Militia (Mali),Diandioumbera Communal Militia (Mali),3
Tuareg Ethnic Militia (Mali),Civilians (Mali),1
GSPC: Salafist Group for Call and Combat,Military Forces of Mali (2002-2012),1
Military Forces of United States,ATNMC: North Mali Tuareg Alliance for Change,3
ATNMC: North Mali Tuareg Alliance for Change,Military Forces of Mali (2002-2012),1
ATNMC: North Mali Tuareg Alliance for Change,Civilians (Mali),6
Military Forces of Mali (2002-2012),Civilians (Mali),1
Rioters (Mali),Police Forces of Mali (2002-2012),1
Arab Ethnic Militia (Mali),AQIM: Al Qaeda in the Islamic Maghreb,1
Polisario Front,Police Forces of Mali (2002-2012),2
AQIM: Al Qaeda in the Islamic Maghreb,Police Forces of Mali (2002-2012),2
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2002-2012),4
Rioters (Mali),Civilians (Mali),2
MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2012-2013),1
Mutiny of Military Forces of Mali (2002-2012),Military Forces of Mali (2012-2013),1
MUJAO: Movement for Unity and Jihad in West Africa,Douentza Communal Militia (Mali),3
Mutiny of Military Forces of Mali (2002-2012),Civilians (Mali),5
Ansar Dine,Civilians (Mali),5
MUJAO: Movement for Unity and Jihad in West Africa,Civilians (Mali),1
MUJAO: Movement for Unity and Jihad in West Africa,MNLA: National Movement for the Liberation of Azawad,8
Protesters (Mali),Police Forces of Mali (2012-2013),1
Protesters (Mali),Ansar Dine,8
Protesters (Mali),MUJAO: Movement for Unity and Jihad in West Africa,2
Military Forces of Mali (2012-2013),Military Forces of Mali (2012-2013),1
MUJAO: Movement for Unity and Jihad in West Africa,Military Forces of Mali (2012-2013),1
Rioters (Mali),MNLA: National Movement for the Liberation of Azawad,2
Ansar Dine,Unidentified Armed Group (Mali),4
Mutiny of Military Forces of Mali (2002-2012),Unidentified Armed Group (Mali),3
Military Forces of Mali (2012-2013),Civilians (Mali),4
Police Forces of Mali (2012-2013),Civilians (Mali),2
Unidentified Armed Group (Mali),Military Forces of Mali (2012-2013),4
Military Forces of Mauritania (2009-),AQIM: Al Qaeda in the Islamic Maghreb,3
Military Forces of France,MUJAO: Movement for Unity and Jihad in West Africa,11
Rioters (Mali),Police Forces of Mali (2013-),7
Military Forces of France,Ansar Dine,1
Military Forces of Chad (1990-),AQIM: Al Qaeda in the Islamic Maghreb,1
Military Forces of Mali (2012-2013),AQIM: Al Qaeda in the Islamic Maghreb,1
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2012-2013),10
Rioters (Mali),Police Forces of Mali (2012-2013),1
MAA: Arab Movement of the Azawad,MNLA: National Movement for the Liberation of Azawad,1
MISMA: International Support Mission for Mali (2012-),MNLA: National Movement for the Liberation of Azawad,6
Military Forces of Mali (2012-2013),MNLA: National Movement for the Liberation of Azawad,1
Military Forces of Chad (1990-),Ansar Dine,4
Police Forces of Mali (2012-2013),Police Forces of Mali (2012-2013),1
Rioters (Mali),Military Forces of France,1
Military Forces of Mali (2012-2013),Ansar Dine,1
MUJAO: Movement for Unity and Jihad in West Africa,Military Forces of Mali (2013-),3
MNLA: National Movement for the Liberation of Azawad,MAA: Arab Movement of the Azawad,1
MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2013-),9
Military Forces of Mali (2012-2013),MUJAO: Movement for Unity and Jihad in West Africa,6
Ansar Dine,Military Forces of Mali (2012-2013),7
Unidentified Armed Group (Mali),Protesters (Mali),9
Military Forces of France,Civilians (Mali),5
Military Forces of Chad (1990-),Civilians (Mali),17
MNLA: National Movement for the Liberation of Azawad,Military Forces of Chad (1990-),1
MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,4
Military Forces of Mali (2013-),MAA: Arab Movement of the Azawad,4
MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),MUJAO: Movement for Unity and Jihad in West Africa,3
Military Forces of Mali (2013-),Tuareg Ethnic Militia (Mali),1
Military Forces of Mali (2013-),MNLA: National Movement for the Liberation of Azawad,6
Unidentified Armed Group (Mali),MNLA: National Movement for the Liberation of Azawad,1
Police Forces of Mali (2013-),Unidentified Armed Group (Mali),1
Military Forces of Mali (2013-),AQIM: Al Qaeda in the Islamic Maghreb,5
Military Forces of Mali (2013-),Mutiny of Military Forces of Mali (2013-),7
Military Forces of Mali (2013-),MUJAO: Movement for Unity and Jihad in West Africa,2
MUJAO: Movement for Unity and Jihad in West Africa,Tuareg Ethnic Militia (Mali),3
Military Forces of France,GMA: Mourabitounes Group of Azawad,8
Movement of the Liberation of Maasina,Military Forces of Mali (2013-),5
CMA: Coordination of Movements of the Azawad,Government of Mali (2013-),4
MUJAO: Movement for Unity and Jihad in West Africa,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),13
CMA: Coordination of Movements of the Azawad,Militia (Pro-Government),3
Military Forces of Mali (2013-),FLM: Macina Liberation Movement,14
MNLA: National Movement for the Liberation of Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,2
GMA: Mourabitounes Group of Azawad,Civilians (International),1
GMA: Mourabitounes Group of Azawad,Police Forces of Mali (2013-),2
Unidentified Communal Militia (Guinea),Police Forces of Mali (2013-) Gendarmerie,1
GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-),2
Unidentified Armed Group (Mali),Gaberi Communal Militia (Mali),3
GMA: Mourabitounes Group of Azawad,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),11
FLM: Macina Liberation Movement,Police Forces of Mali (2013-),3
Ansar Dine,Prison Guards (Mali),21
CMA: Coordination of Movements of the Azawad,Unidentified Armed Group (Mali),9
Government of Mali (2013-),Civilians (Mali),25
MNLA: National Movement for the Liberation of Azawad,International Committee of the Red Cross and Red Crescent,2
GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-) Special Forces,3
FLM: Macina Liberation Movement,Civilians (Mali),7
AQIM: Al Qaeda in the Islamic Maghreb,Al-Ajwad Communal Militia (Mali),1
Tuareg Ethnic Militia (Mali),Military Forces of France,15
Protesters (Mali),Unidentified Armed Group (Mali),4
Unidentified Armed Group (Mali),GMA: Mourabitounes Group of Azawad,4
Kounta Ethnic Militia (Mali),Arab Ethnic Militia (Mali),2
Fulani Ethnic Militia (Mali),Soninke Ethnic Militia (Mali),1
GMA: Mourabitounes Group of Azawad,Military Forces of France,3
Tuareg Ethnic Militia (Mali),Unidentified Armed Group (Mali),4
MUJAO: Movement for Unity and Jihad in West Africa,Military Forces of France,23
Ansar Dine,Civilians (International),1
MNLA: National Movement for the Liberation of Azawad,Civilians (South Sudan),3
MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),GMA: Mourabitounes Group of Azawad,2
Government of Mali (2013-),GATIA: Imghad Tuareg and Allies Self-Defense Group,9
Ansar Dine,Gandakoy Ethinic Militia (Mali),16
Arab Ethnic Militia (Mali),Civilians (Mali),1
Ganda Izo Ethnic Militia (Mali),Military Forces of Mali (2002-2012),21
Polisario Front,Civilians (Mali),6
MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2002-2012),4
GMA: Mourabitounes Group of Azawad,Civilians (Mali),10
Ifogha Ethnic Militia (Mali),Idnan Ethnic Militia (Mali),11
Kounta Ethnic Militia (Mali),Civilians (Mali),4
Dogon Ethnic Militia (Mali),Civilians (Mali),1
Rioters (Mali),Ansar Dine,1
Tuareg Ethnic Militia (Mali),Songhai Ethnic Militia (Mali),5
GATIA: Imghad Tuareg and Allies Self-Defense Group,MNLA: National Movement for the Liberation of Azawad,9
Militia (Students),Civilians (Mali),11
Militia (Students),Military Forces of Mali (1992-2002),1
Rioters (Mali),Military Forces of Mali (2013-),9
Prison Guards (Mali),Rioters (Mali),3
MUJAO: Movement for Unity and Jihad in West Africa,Civilians (International),1
Unidentified Armed Group (Mali),Military Forces of Algeria (1999-),10
ATNMC: North Mali Tuareg Alliance for Change,Civilians (International),4
Military Forces of Mali (2002-2012),ADC: Democratic Alliance of 23rd May for Change,5
MAA: Arab Movement of the Azawad,Military Forces of Mali (2013-),12
Ansar Dine,MNLA: National Movement for the Liberation of Azawad,7
Military Forces of Mauritania (2009-),Civilians (Mali),3
Government of Mali (2012-2013),Civilians (Mali),12
MPLA: Popular Movement for the Liberation of Azawad,Military Forces of Mali (2002-2012),1
MNLA: National Movement for the Liberation of Azawad,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),1
Tuareg Ethnic Militia (Mali),Civilians (Nigeria),4
GATIA: Imghad Tuareg and Allies Self-Defense Group,Military Forces of Mali (2013-),1
Kidal Communal Militia (Mali),Tuareg Ethnic Militia (Mali),2
Ansar Dine,CMA: Coordination of Movements of the Azawad,10
Military Forces of France,MAA: Arab Movement of the Azawad,1
Al Mourabitoune Battalion,Military Forces of France,1
MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),CMA: Coordination of Movements of the Azawad,4
Missira Samoura Ethnic Militia (Mali),Djigueni Ethnic Militia (Mauritania),15
Hombori Militia,MNLA: National Movement for the Liberation of Azawad,2
Unidentified Armed Group (Mali),CMA: Coordination of Movements of the Azawad,2
GSPC: Salafist Group for Call and Combat,ADC: Democratic Alliance of 23rd May for Change,2
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mauritania (2009-),2
Al Mourabitoune Battalion,Civilians (Mali),5
Military Forces of Mali (2013-),CMA: Coordination of Movements of the Azawad,3
Protesters (Mali),MNLA: National Movement for the Liberation of Azawad,16
MAA: Arab Movement of the Azawad,Unidentified Armed Group (Mali),6
Rioters (Mali),Mutiny of Military Forces of Mali (2002-2012),5
ADC: Democratic Alliance of 23rd May for Change,AQIM: Al Qaeda in the Islamic Maghreb,10
Police Forces of Mali (2002-2012),Civilians (Mali),8
Unidentified Armed Group (Mali),Military Forces of Mali (2002-2012),9
Military Forces of Mali (2012-2013),Mutiny of Military Forces of Mali (2002-2012),3
Kirane Communal Militia (Mali),Guavinane Communal Militia (Mali),2
Fula Ethnic Militia (Burkina Faso),Dogon Ethnic Militia (Burkina Faso),2
MUJAO: Movement for Unity and Jihad in West Africa,Military Forces of Niger (2011-),11
Police Forces of Mali (2002-2012),Protesters (Mali),38
Ansar Dine,Military Forces of Burkina Faso (1987-2014),3
Government of Mali (2013-),MNLA: National Movement for the Liberation of Azawad,3
MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Islamist Militia (Mali),5
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Chad (1990-),13
Kounta Ethnic Militia (Mali),Tilemsi Communal Militia (Mali),6
Shiite Muslim Militia (Mali),Civilians (Mali),8
Sunni Muslim Militia (Mali),Shiite Muslim Militia (Mali),1
Police Forces of Mali (1992-2002),Rioters (Mali),63
CMA: Coordination of Movements of the Azawad,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),6
AQIM: Al Qaeda in the Islamic Maghreb,Civilians (Mauritania),4
ADC: Democratic Alliance of 23rd May for Change,GSPC: Salafist Group for Call and Combat,5
AQIM: Al Qaeda in the Islamic Maghreb,MUJAO: Movement for Unity and Jihad in West Africa,1
Rioters (Mali),Rioters (Mali),13
MNLA: National Movement for the Liberation of Azawad,AQIM: Al Qaeda in the Islamic Maghreb,1
Arab Ethnic Militia (Mali),Arab Ethnic Militia (Mali),4
MNLA: National Movement for the Liberation of Azawad,Arab Ethnic Militia (Mali),13
GATIA: Imghad Tuareg and Allies Self-Defense Group,Government of Mali (2013-),2
Military Forces of Mali (2002-2012),AQIM: Al Qaeda in the Islamic Maghreb,2
MNLA: National Movement for the Liberation of Azawad,Militia (Pro-Government),17
Mutiny of Military Forces of Mali (2002-2012),Military Forces of Mali (2002-2012),11
Berdossou Communal Militia (Mali),Sao Ethnic Militia (Mali),21
AQIM: Al Qaeda in the Islamic Maghreb,Civilians (Niger),9
MPLA: Popular Movement for the Liberation of Azawad,Unidentified Armed Group (Mali),11
Rioters (Mauritania),Police Forces of Mauritania (1984-2005),5
Police Forces of Mauritania (1984-2005),Civilians (Mauritania),1
Protesters (Mauritania),Police Forces of Mauritania (1984-2005),2
Mutiny of Military Forces of Mauritania (1984-2005),Military Forces of Mauritania (1984-2005),3
Mutiny of Military Forces of Mauritania (1984-2005),Civilians (Mauritania),2
GSPC: Salafist Group for Call and Combat,Military Forces of Mauritania (1984-2005),5
Protesters (Mauritania),Police Forces of Mauritania (2005-2007),2
Rioters (Mauritania),Police Forces of Mauritania (2005-2007),2
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Israel,2
Military Forces of Mauritania (2007-2008),Military Forces of Mauritania (2007-2008),1
AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mauritania (2007-2008),1
Protesters (Mauritania),Police Forces of Mauritania (2008-2009),1
Police Forces of Mauritania (2008-2009),Rioters (Mauritania),1
Rioters (Mauritania),Police Forces of Mauritania (2008-2009),3
Military Forces of Mauritania (2008-2009),AQIM: Al Qaeda in the Islamic Maghreb,6
Military Forces of Mauritania (2009-),Unidentified Armed Group (Mauritania),2
AQIM: Al Qaeda in the Islamic Maghreb,Police Forces of Mauritania (2009-),1
Police Forces of Mauritania (2009-),AQIM: Al Qaeda in the Islamic Maghreb,4
Rioters (Mauritania),Rioters (Mauritania),1
Police Forces of Mauritania (2009-),Unidentified Armed Group (Mauritania),17
Unidentified Armed Group (Mauritania),Civilians (Mali),1
Rioters (Mali),Rioters (Mauritania),2
Government of Mali (2012-2013),Government of Mauritania (2009-),1
Protesters (Mauritania),Military Forces of Mauritania (2009-) Presidential Security Unit,7
AQIM: Al Qaeda in the Islamic Maghreb,Government of Mauritania (2009-),15
GSPC: Salafist Group for Call and Combat,Police Forces of Mauritania (1984-2005),1
"Unity, Justice and Equality Front in Mauritania",Police Forces of Mauritania (2005-2007),1
Military Forces of Mauritania (1984-2005),Civilians (Mauritania),12
Military Forces of Mali (2013-),Civilians (Mauritania),4
Military Forces of Mauritania (1984-2005),Mutiny of Military Forces of Mauritania (1984-2005),2
Rioters (Mauritania),Civilians (Mauritania),3
Government of Mauritania (2009-),AQIM: Al Qaeda in the Islamic Maghreb,12
Unidentified Armed Group (Mauritania),Civilians (International),12
Government of Mauritania (2009-),Civilians (Mauritania),2
MFDC: Movement of Democratic Forces of Casamance,Military Forces of Senegal (2000-2012),1
Government of Mauritania (2009-),Government of Niger (2011-),1
Rioters (Mauritania),Police Forces of Mauritania (2007-2008),2
Unidentified Armed Group (Mauritania),Police Forces of Mauritania (2009-),2
Police Forces of Mauritania (1984-2005),Protesters (Mauritania),6
Military Forces of Mauritania (2009-),Civilians (Mauritania),7
Djigueni Ethnic Militia (Mauritania),Missira Samoura Ethnic Militia (Mali),3
Rioters (Mauritania),Military Forces of Mauritania (2009-),8
Military Forces of Mauritania (2009-),Military Forces of Mauritania (2009-),6
Unidentified Armed Group (Mauritania),Civilians (Mauritania),1
Protesters (Mauritania),Police Forces of Mauritania (2007-2008),2
Military Forces of Mauritania (2009-),Protesters (Mauritania),11
Police Forces of Mauritania (2009-),Protesters (Mauritania),12
Police Forces of Mauritania (2009-),Islamist Militia (Mauritania),5
Military Forces of Mauritania (2009-) Presidential Security Unit,Civilians (Mauritania),10
Military Forces of Algeria (1994-1999),Civilians (Morocco),2
Government of Morocco (1961-1999),Islamist Militia (Morocco),3
Police Forces of Morocco (1961-1999),Rioters (Morocco),1
Police Forces of Morocco (1961-1999),Protesters (Morocco),1
Unidentified Armed Group (Senegal),Unidentified Armed Group (Morocco),10
Government of Morocco (1999-),Al Adl Wa Al Ihssane,4
Police Forces of Morocco (1999-),Al-Salafiya Al Jihadia,3
Government of Morocco (1999-),Assirat Al-Moustaquim,1
Government of Morocco (1999-),Salafia Jihadia,2
Military Forces of Morocco (1999-),Rioters (Morocco),3
Unidentified Armed Group (Morocco),Police Forces of Morocco (1999-),1
Government of Morocco (1999-),Al Qaeda,12
Al Qaeda,Civilians (Morocco),1
Government of Morocco (1999-),Ansar al-Mehdi,2
Polisario Front,Police Forces of Morocco (1999-),7
Protesters (Morocco),Rioters (Morocco),6
Military Forces of Morocco (1999-),AQIM: Al Qaeda in the Islamic Maghreb,4
February 20 Movement,Police Forces of Morocco (1999-),14
Government of Morocco (1999-),Civilians (International),13
Ansar al-Sharia,Police Forces of Morocco (1999-),2
MUJAO: Movement for Unity and Jihad in West Africa,Police Forces of Morocco (1999-),8
Protesters (Morocco),Military Forces of Morocco (1999-),7
Police Forces of Morocco (1999-),Civilians (Ivory Coast),6
Muslim Militia (Morocco),Civilians (Morocco),1
Police Forces of Morocco (1999-),Civilians (International),19
Prison Guards (Morocco),Civilians (Morocco),7
Rioters (International),Rioters (International),7
Military Forces of Spain,Civilians (Morocco),1
Rioters (Mali),Rioters (Cameroon),4
Rioters (Morocco),Rioters (International),3
Rioters (Morocco),Rioters (Morocco),13
Military Forces of Morocco (1999-),Islamist Militia (Morocco),3
Protesters (International),Police Forces of Morocco (1999-),5
MP: Popular Movement,Civilians (Morocco),4
Rioters (International),Police Forces of Spain,18
Government of Libya (2014-) House of Representatives,UNSMIL: United Nations Support Mission in Libya (2011-),4
Protesters (Morocco),Protesters (International),11
Police Forces of Morocco (1999-),Civilians (Algeria),5
Bloc Democratique Party Supporters,Entente Nationale Party,2
Police Forces of Morocco (1999-),Polisario Front,6
Military Forces of Spain,AQIM: Al Qaeda in the Islamic Maghreb,3
Police Forces of Morocco (1999-),Civilians (Democratic Republic of Congo),5
Unidentified Armed Group (International),Police Forces of Morocco (1999-),4
Rioters (Morocco),Prison Guards (Morocco),31
Islamist Militia (Morocco),Police Forces of Morocco (1999-),8
Military Forces of Spain,Military Forces of Morocco (1999-),12
Vigilante Militia (Morocco),Civilians (Morocco),3
Rioters (Morocco),Military Forces of Spain,2
Police Forces of Morocco (1999-),Rioters (International),3
Government of Libya (2014-) House of Representatives,Government of Libya (2014-) General National Congress,5
Rioters (Morocco),Military Forces of Algeria (1999-),8
Rioters (Morocco),Private Security Forces (Morocco),20
GIA: Armed Islamic Group,Civilians (Morocco),1
Polisario Front,Unidentified Armed Group (Algeria),5
Military Forces of Morocco (1999-),Islamist Militia (Algeria),10
Militia (Students),Civilians (Morocco),14
Military Forces of Morocco (1999-),Civilians (International),10
Unidentified Armed Group (Morocco),Civilians (International),11
Private Security Forces (Morocco),Unidentified Armed Group (Morocco),5
Rioters (Morocco),Government of Morocco (1999-),8
Police Forces of Morocco (1999-),AQIM: Al Qaeda in the Islamic Maghreb,4
Commission to Promote Virtue and Prevent Vice,Civilians (Morocco),7
Police Forces of Morocco (1961-1999),Civilians (Morocco),3
Unidentified Armed Group (Morocco),Unidentified Armed Group (Morocco),1
Rioters (Morocco),Military Forces of Morocco (1999-),11
Rioters (Morocco),Protesters (Morocco),2
Police Forces of Morocco (1999-),Unidentified Armed Group (Morocco),8
Police Forces of Morocco (1999-),February 20 Movement,20
Police Forces of Morocco (1999-),Al Qaeda,7
Rioters (Morocco),Rioters (Senegal),11
Police Forces of Morocco (1999-),Saharawi Jihad Front,5
Protesters (Mozambique),Police Forces of Mozambique (1990-),23
Unidentified Armed Group (Mozambique),Civilians (Democratic Republic of Congo),3
Rioters (Mozambique),RENAMO: Mozambican National Resistance,15
RENAMO: Mozambican National Resistance,Police Forces of Mozambique (1990-),3
Rioters (Mozambique),FRELIMO: Liberation Front of Mozambique,6
RENAMO: Mozambican National Resistance,RENAMO: Mozambican National Resistance,2
Police Forces of Mozambique (1990-),Unidentified Armed Group (Mozambique),5
Unidentified Armed Group (Mozambique),Police Forces of Mozambique (1990-),5
Rioters (Mozambique),MDM: Mozambique Democratic Movement,3
Unidentified Armed Group (Malawi),Civilians (Mozambique),6
Protesters (Mozambique),RENAMO: Mozambican National Resistance,5
FRELIMO: Liberation Front of Mozambique,MDM: Mozambique Democratic Movement,2
Police Forces of Malawi (2004-2012),Police Forces of Mozambique (1990-),10
MDM: Mozambique Democratic Movement,FRELIMO: Liberation Front of Mozambique,19
Government of Mozambique (1990-),RENAMO: Mozambican National Resistance,4
Unidentified Armed Group (Mozambique),Civilians (Zimbabwe),5
Unidentified Armed Group (Mozambique),Private Security Forces (Mozambique),1
Police Forces of Mozambique (1990-),RENAMO: Mozambican National Resistance,6
Military Forces of Mozambique (1990-),RENAMO: Mozambican National Resistance,2
Police Forces of Mozambique (1990-),Protesters (Mozambique),5
RENAMO: Mozambican National Resistance,Military Forces of Mozambique (1990-),5
Unidentified Armed Group (Mozambique),Civilians (International),6
MDM: Mozambique Democratic Movement,Civilians (Mozambique),3
Military Forces of Mozambique (1990-),Civilians (Mozambique),1
RENAMO: Mozambican National Resistance,Civilians (Somalia),2
RENAMO: Mozambican National Resistance,Government of Mozambique (1990-),32
Vigilante Militia (Mozambique),Police Forces of Mozambique (1990-),46
Unidentified Armed Group (Mozambique),RENAMO: Mozambican National Resistance,1
Police Forces of Mozambique (1990-),Civilians (Malawi),11
Rioters (Mozambique),Prison Guards (Mozambique),52
Vigilante Militia (Mozambique),Civilians (Mozambique),1
Vigilante Militia (South Africa),Civilians (Mozambique),24
Unidentified Armed Group (Mozambique),Military Forces of Mozambique (1990-),38
Military Forces of Mozambique (1990-),Unidentified Armed Group (Mozambique),1
Military Forces of Zimbabwe (1987-),Civilians (Mozambique),7
Private Security Forces (Mozambique),Civilians (Mozambique),2
RENAMO: Mozambican National Resistance,Civilians (Nigeria),19
Military Forces of Mozambique (1990-),Civilians (International),51
Police Forces of Mozambique (1990-),Rioters (Mozambique),13
Rioters (Mozambique),Private Security Forces (Mozambique),9
Unidentified Armed Group (Mozambique),Civilians (South Africa),4
Military Forces of Mozambique (1990-) Presidential Security Unit,Civilians (Mozambique),8
Police Forces of Mozambique (1990-),Civilians (Nigeria),6
Military Forces of South Africa (1994-),Police Forces of Mozambique (1990-),32
RENAMO: Mozambican National Resistance,Rioters (Mozambique),6
Unidentified Armed Group (Mozambique),Civilians (Burundi),21
Police Forces of Mozambique (1990-),Civilians (Somalia),9
Rioters (Mozambique),Police Forces of Mozambique (1990-) Anti-Poaching Unit,23
Police Forces of Mozambique (1990-) Mozambican Frontier Guard,Unidentified Armed Group (Malawi),11
CLA: Caprivi Liberation Army,Military Forces of Namibia (1990-),2
CLA: Caprivi Liberation Army,Police Forces of Namibia (1990-),5
UNITA: National Union for the Total Independence of Angola,Civilians (Namibia),13
Unidentified Armed Group (Angola),Civilians (Namibia),2
Military Forces of Angola (1975-),Civilians (Namibia),1
Military Forces of Namibia (1990-),Civilians (Namibia),6
Military Forces of Namibia (1990-),Military Forces of Angola (1975-),2
Police Forces of Namibia (1990-),Civilians (Namibia),4
Military Forces of Namibia (1990-),CLA: Caprivi Liberation Army,19
Rioters (Namibia),Maharero Royal Traditional Authority,5
Rioters (Namibia),Police Forces of Namibia (1990-),3
SWAPO: South West Africa Peoples Organisation,RDP: Rally for Democracy and Progress,3
Police Forces of Namibia (1990-),Protesters (Namibia),7
Herero Ethnic Militia (Namibia),Civilians (Namibia),1
Berseba Communal Militia (Namibia),Berseba Communal Militia (Namibia),7
Protesters (Namibia),Police Forces of Namibia (1990-),2
Police Forces of Namibia (1990-) Special Reserve Force,Civilians (Namibia),7
Rioters (Namibia),Police Forces of Namibia (1990-) Special Reserve Force,13
Military Forces of Namibia (1990-),Civilians (Angola),15
Unidentified Armed Group (Namibia),Police Forces of Namibia (1990-),3
SWANU: South West Africa National Union Militia,Civilians (Namibia),10
UNITA: National Union for the Total Independence of Angola,Military Forces of Namibia (1990-),11
Police Forces of Namibia (1990-),UNITA: National Union for the Total Independence of Angola,15
Unidentified Armed Group (Namibia),Unidentified Armed Group (Angola),8
MPLA: Popular Movement for the Liberation of Angola,Civilians (Namibia),4
Rioters (Namibia),APP: All Peoples Party,23
Police Forces of Namibia (1990-),Rioters (Namibia),12
Rioters (Namibia),Private Security Forces (Nigeria),5
Unidentified Armed Group (Namibia),Military Forces of Angola (1975-),2
Private Security Forces (Namibia),Civilians (Namibia),12
Aandonga Ethnic Militia (Namibia),Aakwanyama Ethnic Militia (Namibia),5
Tuareg Ethnic Militia (Niger),Civilians (Niger),14
